'sample interval','RESP'
'0.008 sec','pm'
442,-0.127
443,-0.115
444,-0.103
445,-0.088
446,-0.071
447,-0.056
448,-0.039
449,-0.020
450,0.000
451,0.027
452,0.054
453,0.086
454,0.120
455,0.161
456,0.203
457,0.249
458,0.298
459,0.342
460,0.386
461,0.428
462,0.472
463,0.513
464,0.557
465,0.601
466,0.643
467,0.680
468,0.716
469,0.746
470,0.778
471,0.797
472,0.819
473,0.831
474,0.844
475,0.846
476,0.848
477,0.839
478,0.831
479,0.819
480,0.809
481,0.792
482,0.778
483,0.753
484,0.729
485,0.699
486,0.670
487,0.641
488,0.611
489,0.579
490,0.550
491,0.518
492,0.487
493,0.452
494,0.418
495,0.386
496,0.355
497,0.325
498,0.296
499,0.271
500,0.247
501,0.225
502,0.203
503,0.186
504,0.166
505,0.152
506,0.134
507,0.120
508,0.108
509,0.095
510,0.083
511,0.071
512,0.061
513,0.051
514,0.042
515,0.029
516,0.020
517,0.007
518,-0.002
519,-0.012
520,-0.022
521,-0.032
522,-0.039
523,-0.049
524,-0.059
525,-0.068
526,-0.078
527,-0.086
528,-0.095
529,-0.100
530,-0.108
531,-0.112
532,-0.120
533,-0.125
534,-0.130
535,-0.132
536,-0.134
537,-0.134
538,-0.134
539,-0.132
540,-0.130
541,-0.122
542,-0.117
543,-0.108
544,-0.095
545,-0.078
546,-0.061
547,-0.044
548,-0.024
549,-0.005
550,0.017
551,0.044
552,0.073
553,0.108
554,0.142
555,0.181
556,0.222
557,0.269
558,0.313
559,0.357
560,0.401
561,0.443
562,0.484
563,0.528
564,0.572
565,0.619
566,0.667
567,0.709
568,0.751
569,0.790
570,0.829
571,0.866
572,0.902
573,0.936
574,0.971
575,0.998
576,1.027
577,1.051
578,1.076
579,1.093
580,1.112
581,1.125
582,1.137
583,1.144
584,1.152
585,1.154
586,1.156
587,1.154
588,1.154
589,1.149
590,1.144
591,1.132
592,1.122
593,1.105
594,1.088
595,1.068
596,1.046
597,1.020
598,0.995
599,0.971
600,0.946
601,0.922
602,0.897
603,0.868
604,0.841
605,0.812
606,0.782
607,0.756
608,0.726
609,0.702
610,0.675
611,0.648
612,0.621
613,0.592
614,0.562
615,0.533
616,0.504
617,0.474
618,0.447
619,0.421
620,0.394
621,0.369
622,0.345
623,0.323
624,0.298
625,0.274
626,0.252
627,0.232
628,0.213
629,0.193
630,0.176
631,0.161
632,0.144
633,0.127
634,0.112
635,0.095
636,0.081
637,0.064
638,0.049
639,0.034
640,0.022
641,0.010
642,-0.002
643,-0.012
644,-0.024
645,-0.037
646,-0.046
647,-0.056
648,-0.066
649,-0.076
650,-0.083
651,-0.090
652,-0.100
653,-0.108
654,-0.115
655,-0.125
656,-0.132
657,-0.142
658,-0.149
659,-0.156
660,-0.164
661,-0.171
662,-0.178
663,-0.186
664,-0.193
665,-0.200
666,-0.205
667,-0.213
668,-0.218
669,-0.220
670,-0.222
671,-0.225
672,-0.227
673,-0.227
674,-0.227
675,-0.227
676,-0.225
677,-0.222
678,-0.220
679,-0.215
680,-0.213
681,-0.208
682,-0.203
683,-0.198
684,-0.191
685,-0.183
686,-0.178
687,-0.171
688,-0.161
689,-0.154
690,-0.144
691,-0.130
692,-0.117
693,-0.100
694,-0.083
695,-0.061
696,-0.037
697,-0.012
698,0.015
699,0.039
700,0.064
701,0.088
702,0.115
703,0.142
704,0.169
705,0.196
706,0.225
707,0.249
708,0.274
709,0.296
710,0.318
711,0.337
712,0.357
713,0.372
714,0.386
715,0.396
716,0.403
717,0.406
718,0.408
719,0.403
720,0.401
721,0.394
722,0.386
723,0.372
724,0.357
725,0.335
726,0.313
727,0.291
728,0.269
729,0.244
730,0.222
731,0.198
732,0.174
